to sleep	dormir
to be able to / can	poder
to want / to love	querer
to prefer	preferir
to think	pensar
to begin	empezar
to close	cerrar
to understand	entender
to lose / to miss	perder
to have lunch	almorzar
to return	volver
to find	encontrar
to count / to tell	contar
to remember	recordar
to show	mostrar
to cost	costar
to play (a sport or game)	jugar
to ask for / to request	pedir
to repeat	repetir
to follow / to continue	seguir
to get / to obtain	conseguir
to say / to tell	decir
to do / to make	hacer
to go	ir
to see	ver
to put / to place	poner
to leave / to go out	salir
to give	dar
happy / content	contento
sad	triste
tired	cansado
angry / mad	enojado
worried	preocupado
nervous	nervioso
busy	ocupado
clean	limpio
dirty	sucio
open	abierto
closed	cerrado
bored / boring	aburrido
ready / smart	listo
in love	enamorado
comfortable	cómodo
happy / joyful	alegre
the park	el parque
the gym	el gimnasio
the swimming pool	la piscina
the beach	la playa
the store / shop	la tienda
the restaurant	el restaurante
the movie theater	el cine
the museum	el museo
the church	la iglesia
the downtown	el centro
orange (color)	anaranjado
purple	morado
pink	rosado
brown	marrón
gray	gris
yesterday	ayer
last night	anoche
the day before yesterday	anteayer
last week	la semana pasada
last year	el año pasado
suddenly	de repente
the shirt	la camisa
the t-shirt	la camiseta
the pants	los pantalones
the dress	el vestido
the skirt	la falda
the jacket	la chaqueta
the sneakers	los zapatos de tenis
the hat	el sombrero
the coat	el abrigo
the socks	los calcetines
the apple	la manzana
the orange (fruit)	la naranja
the chicken	el pollo
the meat	la carne
the fish (food)	el pescado
the rice	el arroz
the cheese	el queso
the milk	la leche
the bread	el pan
the eggs	los huevos
the vegetables	las verduras
the strawberries	las fresas
the airport	el aeropuerto
the ticket	el pasaje
the arrival	la llegada
the departure / exit	la salida
the luggage	el equipaje
the room	la habitación
the key	la llave
the guest	el huésped
